accession,role,file,bytes,sha256,source_url,retrieved
GCF_036503815.1,protein_fasta,protein.faa,1888056,e0270ec2a9c0da19fc8a8929743e874563dbfb168c74fcdb6df134d8eb65553b,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036503815.1/,2026-09-13
GCF_036503815.1,sequence_report,sequence_report.jsonl,1643,7d6939bf80bab49eeb6ecf1d6e8cd28d5bea6efd57d5fd067ed60bc667490e47,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036503815.1/,2026-09-13
GCF_036503815.1,assembly_data_report,assembly_data_report.jsonl,4047,4d2ddd73661821662ecfa9004c653c9dfd8b6ff783698ba04390b2acebfedcee,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036503815.1/,2026-09-13
GCF_036503815.1,dataset_catalog,dataset_catalog.json,1150,bf555cf39a4ab7d39985e5d97bc030f3c05f088e909ac9291df1465d8cd04b94,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036503815.1/,2026-09-13
GCF_005843885.1,ncbi_package_zip,ncbi_dataset.zip,8363878,345235b3b9a06d02fdc3044b0226fc9e9050196bb5312fcf3b0ee2a5a3a1b369,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_005843885.1,reference_fasta,reference.fna,5184828,964a07bf2352f16194adee6e03b8ea079921246375f1b81382491c8284887a9f,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_005843885.1,genbank_annotation,annotation.gbff,13259191,b26c1422891f409d9f1d90122d17b4271077dacce5b7d99c5300414d5bd57ac3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_005843885.1,gff3_annotation,annotation.gff3,3063966,0321b4468dc596ec39c783473a816b2c0d0211866ba7eabe6a50a3c257004c93,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_005843885.1,cds_fasta,cds.fna,5514657,f3077bd1638a9f507af670090d2886ab83f5b7879f4f9323035f5d755718f853,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_005843885.1,protein_fasta,protein.faa,1851953,f1e916af160a309094e32b12c84ad41511bda94db9aa1962869583c29d3cfe82,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
GCF_005843885.1,sequence_report,sequence_report.jsonl,317,9f54cdd546c68be45a86b6e04de1fe2f426597531f0280738f80681a48b59e84,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005843885.1/,2026-09-13
