accession,label,organism,role,reference_fasta,genbank_annotation,gff3_annotation,cds_fasta,protein_fasta,accepted_vcf,callable_bed,reference_sha256,accepted_vcf_sha256
GCF_000005845.2,MG1655 baseline,Escherichia coli K-12 MG1655,baseline,../local/source_packages/GCF_000005845.2/reference.fna,../local/source_packages/GCF_000005845.2/annotation.gbff,../local/source_packages/GCF_000005845.2/annotation.gff3,../local/source_packages/GCF_000005845.2/cds.fna,../local/source_packages/GCF_000005845.2/protein.faa,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_000005845.2/calling/vcf/accepted.vcf.gz,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_000005845.2/calling/depth/callable_regions.bed,53bb6a51b6e92139ced1e38f74b7938781027c52200922ff03718c2237d23bb4,5a15f3a7df057a686c8f9eebc805be804d02d217c547c82c0837711572063c0f
GCF_003697165.2,DSM 30083 / ATCC 11775,Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775,alternative,../local/source_packages/GCF_003697165.2/reference.fna,../local/source_packages/GCF_003697165.2/annotation.gbff,../local/source_packages/GCF_003697165.2/annotation.gff3,../local/source_packages/GCF_003697165.2/cds.fna,../local/source_packages/GCF_003697165.2/protein.faa,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_003697165.2/calling/vcf/accepted.vcf.gz,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_003697165.2/calling/depth/callable_regions.bed,17124ac56df45b547706ddb0b2a56274d893022f42fe445afb5a08e19eb874b1,f299cc4c9997eca9f1474674664bb8d8ffd0b08672b6f49f93030efb71a8f58e
GCF_036503815.1,2017-02-2CC,Escherichia coli strain 2017-02-2CC,alternative,../local/source_packages/GCF_036503815.1/reference.fna,../local/source_packages/GCF_036503815.1/annotation.gbff,../local/source_packages/GCF_036503815.1/annotation.gff3,../local/source_packages/GCF_036503815.1/cds.fna,../local/source_packages/GCF_036503815.1/protein.faa,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_036503815.1/calling/vcf/accepted.vcf.gz,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_036503815.1/calling/depth/callable_regions.bed,53abc0aaaa1d3d62c031ed7f40f4b1eea40e2c39776993427277049fb375bf7e,4a7f25d2344e3243faa5c82ae1a257893cc9d40901e9919dab089700ba92a64b
GCF_005843885.1,E4742,Escherichia sp. E4742,alternative,../local/source_packages/GCF_005843885.1/reference.fna,../local/source_packages/GCF_005843885.1/annotation.gbff,../local/source_packages/GCF_005843885.1/annotation.gff3,../local/source_packages/GCF_005843885.1/cds.fna,../local/source_packages/GCF_005843885.1/protein.faa,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_005843885.1/calling/vcf/accepted.vcf.gz,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_005843885.1/calling/depth/callable_regions.bed,964a07bf2352f16194adee6e03b8ea079921246375f1b81382491c8284887a9f,240835f2eb611f381b65b8a36fb7e230c6300fd73190f0cec62f84ed0ab32ed7
GCF_000026225.1,ATCC 35469,Escherichia fergusonii ATCC 35469,alternative,../local/source_packages/GCF_000026225.1/reference.fna,../local/source_packages/GCF_000026225.1/annotation.gbff,../local/source_packages/GCF_000026225.1/annotation.gff3,../local/source_packages/GCF_000026225.1/cds.fna,../local/source_packages/GCF_000026225.1/protein.faa,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_000026225.1/calling/vcf/accepted.vcf.gz,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_000026225.1/calling/depth/callable_regions.bed,27b1ae81ccc96c77256d5b9afbf33121a6365a1393bf1df37014c3d24b09d6f3,6bed3620216af47522f61341f4434707f84bf63c6ed2e2b3b8d5a19b2032a002
GCF_002900365.1,HT073016,Escherichia marmotae HT073016,alternative,../local/source_packages/GCF_002900365.1/reference.fna,../local/source_packages/GCF_002900365.1/annotation.gbff,../local/source_packages/GCF_002900365.1/annotation.gff3,../local/source_packages/GCF_002900365.1/cds.fna,../local/source_packages/GCF_002900365.1/protein.faa,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_002900365.1/calling/vcf/accepted.vcf.gz,../../bioinformatics-project-13-sample-identity-reference-concordance-explorer/results/concordance_analysis/references/GCF_002900365.1/calling/depth/callable_regions.bed,062250f26f8fedf2be000ff7a31c00f89f3c4c34046eeec95a96e6a085ea76e8,f39ff4a7fe240e8da58c6f9c723c958abf97d4dcab2e6fdf889bf576c503ccf6

